time_seconds,amplitude_raw
0.00093,2826
0.00093125,2866
0.0009325,2949
0.00093375,3169
0.000935,3587
0.00093625,4141
0.0009375,4722
0.00093875,5152
0.00094,5358
0.00094125,5367
0.0009425,5295
0.00094375,5323
0.000945,5508
0.00094625,5805
0.0009475,6116
0.00094875,6329
0.00095,6405
0.00095125,6352
0.0009525,6280
0.00095375,6237
0.000955,6254
0.00095625,6346
0.0009575,6501
0.00095875,6706
0.00096,6916
0.00096125,7077
0.0009625,7135
0.00096375,7094
0.000965,7042
0.00096625,7033
0.0009675,7142
0.00096875,7309
0.00097,7461
0.00097125,7561
0.0009725,7570
0.00097375,7522
0.000975,7477
0.00097625,7431
0.0009775,7411
0.00097875,7385
0.00098,7328
0.00098125,7265
0.0009825,7160
0.00098375,7079
0.000985,7036
0.00098625,6959
0.0009875,6784
0.00098875,6447
0.00099,5955
0.00099125,5386
0.0009925,4813
0.00099375,4441
0.000995,4264
0.00099625,4235
0.0009975,4268
0.00099875,4216
0.001,3974
0.00100125,3603
0.0010025,3225
0.00100375,2943
0.001005,2834
0.00100625,2872
0.0010075,2955
0.00100875,3001
0.00101,2958
0.00101125,2833
0.0010125,2685
0.00101375,2572
0.001015,2519
0.00101625,2503
0.0010175,2486
0.00101875,2431
0.00102,2314
0.00102125,2160
0.0010225,2040
0.00102375,1983
0.001025,1988
0.00102625,2026
0.0010275,2033
0.00102875,2022
0.00103,2048
0.00103125,2216
0.0010325,2570
0.00103375,3099
0.001035,3640
0.00103625,4055
0.0010375,4256
0.00103875,4259
0.00104,4204
0.00104125,4256
0.0010425,4442
0.00104375,4712
0.001045,4991
0.00104625,5234
0.0010475,5405
0.00104875,5528
0.00105,5664
0.00105125,5819
0.0010525,5963
0.00105375,6181
0.001055,6345
0.00105625,6491
0.0010575,6596
0.00105875,6640
0.00106,6667
0.00106125,6658
0.0010625,6634
0.00106375,6656
0.001065,6720
0.00106625,6834
0.0010675,6938
0.00106875,7001
0.00107,6969
0.00107125,6889
0.0010725,6844
0.00107375,6869
0.001075,7017
0.00107625,7218
0.0010775,7350
0.00107875,7385
0.00108,7299
0.00108125,7130
